B_BUS_ID;B_LEA_OR_ENTITY_NAME;F_CITY;C_FLEET_OPERATOR_1_IF_APPLICABLE;N_CURRENT_STATUS_OF_BUS;O_BATCH;T_BUS_OEM;U_ELECTRIC_POWERTRAIN_MANUFACTURER;V_MODEL;W_TYPE;X_DEALER;Y_MULTIPLE_FUNDING_SOURCES_USED;Z_FUNDING_SOURCE_1;AA_AGENCY_ADMINISTERING_FUNDS_1;Z_FUNDING_SOURCE_2;AB_DOLLAR_AMOUNT_TOWARD_BUS;AE_DOLLAR_AMOUNT_TOWARD_CHARGER;A_DATE_OF_MOST_RECENT_SOURCE;B_SOURCE_1;B_SOURCE_2;LEA_ID_NON_TRIM;QUARTER_AWARDED;ANNEE_ORDERED;QUARTER_ORDERED;ANNEE_DELIVERED;QUARTER_DELIVERED;ANNEE_OPERATING;QUARTER_OPERATING;fundraiser_1 montant;fundraiser-2 montant;LEA_ID;ANNEE_AWARDED;date_awarded;date_ordered;date_delivered;date_operating;awarded_to_ordered;ordered_to_delivered;delivered_to_operating
1;American Samoa Department of Education;Pago Pago;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;6000030;10;;;;;;;395000;0;6000030;2022;01/10/2022;;;;;;
1;Littlefield Unified District (4374);BEAVER DAM;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;404410;10;;;;;;;395000;0;404410;2022;01/10/2022;;;;;;
2;Littlefield Unified District (4374);BEAVER DAM;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;404410;10;;;;;;;395000;0;404410;2022;01/10/2022;;;;;;
3;Littlefield Unified District (4374);BEAVER DAM;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;404410;10;;;;;;;395000;0;404410;2022;01/10/2022;;;;;;
1;Mohave Valley Elementary District (4379);MOHAVE VALLEY;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;405190;10;;;;;;;395000;0;405190;2022;01/10/2022;;;;;;
2;Mohave Valley Elementary District (4379);MOHAVE VALLEY;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;405190;10;;;;;;;395000;0;405190;2022;01/10/2022;;;;;;
3;Mohave Valley Elementary District (4379);MOHAVE VALLEY;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;405190;10;;;;;;;395000;0;405190;2022;01/10/2022;;;;;;
4;Mohave Valley Elementary District (4379);MOHAVE VALLEY;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;405190;10;;;;;;;395000;0;405190;2022;01/10/2022;;;;;;
5;Mohave Valley Elementary District (4379);MOHAVE VALLEY;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;405190;10;;;;;;;395000;0;405190;2022;01/10/2022;;;;;;
6;Mohave Valley Elementary District (4379);MOHAVE VALLEY;;Awarded;1;;;;;;False;Clean School Bus Rebate Program;Environmental Protection Agency (EPA);;375000;20000;mercredi 26 octobre 2022;https://www.epa.gov/cleanschoolbus/awarded-clean-school-bus-program-rebates#Rebate-Funding;;405190;10;;;;;;;395000;0;405190;2022;01/10/2022;;;;;;
